               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10981,            0.044103,                   0,            0.060331,             0.18841,            0.039265,           0.0092694,            0.087837,            0.032407,                   0,            0.070306,           0.0032993,           0.0032993
                   1,            0.081109,            0.041162,                   0,             0.10552,             0.36759,            0.086167,            0.023369,             0.07554,            0.026416,                   0,            0.040219,           0.0065451,           0.0065451
                   2,            0.075097,            0.037302,                   0,             0.28207,             0.43742,             0.29811,            0.099177,            0.064597,            0.025993,                   0,            0.010043,           0.0097029,           0.0097029
                   3,            0.065367,            0.037135,                   0,             0.50178,              0.5905,             0.50314,             0.19175,            0.050902,             0.02955,                   0,            0.009604,            0.009604,            0.009604
                   4,            0.058968,            0.036721,                   0,              0.6074,             0.58893,             0.62869,             0.26587,            0.048553,            0.026477,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.054541,            0.036917,                   0,             0.55188,              0.5863,              0.5994,             0.25002,            0.049942,            0.025945,                   0,            0.009472,            0.009472,            0.009472
                   6,            0.053013,            0.034717,                   0,             0.57697,             0.61995,             0.60436,             0.21747,            0.051573,             0.02643,                   0,             0.00934,             0.00934,             0.00934
                   7,            0.051556,            0.036313,                   0,             0.60178,             0.61522,             0.63778,               0.259,            0.048173,            0.025681,                   0,            0.009208,            0.009208,            0.009208
                   8,            0.048366,             0.03476,                   0,             0.65469,             0.65481,             0.68518,             0.30572,            0.045375,            0.025938,                   0,            0.009076,            0.009076,            0.009076
                   9,            0.048161,             0.03382,                   0,             0.63686,             0.64032,             0.66882,             0.30904,            0.044754,            0.026482,                   0,            0.008944,            0.008944,            0.008944
                  10,            0.047593,            0.034088,                   0,             0.62098,             0.63241,             0.64829,               0.289,            0.046516,            0.026349,                   0,            0.008812,            0.008812,            0.008812
                  11,            0.046384,            0.034507,                   0,             0.63035,              0.5942,             0.65852,             0.30792,            0.045413,            0.025959,                   0,             0.00868,             0.00868,             0.00868
                  12,            0.045902,            0.032466,                   0,              0.6502,             0.64164,             0.68206,             0.30506,            0.044691,            0.026015,                   0,            0.008548,            0.008548,            0.008548
                  13,            0.046099,            0.034075,                   0,             0.62939,             0.67348,             0.68678,             0.32604,            0.043217,            0.025536,                   0,            0.008416,            0.008416,            0.008416
                  14,             0.04546,            0.034506,                   0,             0.66258,             0.60606,             0.65954,             0.28409,            0.046534,            0.025847,                   0,            0.008284,            0.008284,            0.008284
                  15,            0.043842,            0.032421,                   0,             0.63556,             0.64794,             0.66195,             0.29346,            0.045044,            0.025876,                   0,            0.008152,            0.008152,            0.008152
                  16,            0.044473,            0.034563,                   0,             0.65308,             0.66271,             0.68462,             0.31969,            0.044302,            0.025438,                   0,             0.00802,             0.00802,             0.00802
                  17,             0.04238,            0.033453,                   0,             0.66175,             0.59552,             0.64957,             0.29426,            0.046644,            0.025957,                   0,            0.007888,            0.007888,            0.007888
                  18,            0.042702,            0.033502,                   0,             0.69178,              0.6166,             0.68312,             0.31321,             0.04311,            0.025629,                   0,            0.007756,            0.007756,            0.007756
                  19,            0.043001,            0.032686,                   0,             0.64827,             0.66667,             0.69112,             0.32193,             0.04356,            0.025711,                   0,            0.007624,            0.007624,            0.007624
                  20,            0.041301,            0.033002,                   0,             0.67254,             0.65876,             0.70725,             0.32915,            0.043708,            0.025367,                   0,            0.007492,            0.007492,            0.007492
                  21,            0.041141,            0.033415,                   0,             0.63857,             0.67325,             0.68517,             0.32178,            0.043575,            0.026097,                   0,             0.00736,             0.00736,             0.00736
                  22,             0.04098,            0.032826,                   0,             0.62869,             0.66271,             0.68072,             0.31464,            0.043283,            0.026014,                   0,            0.007228,            0.007228,            0.007228
                  23,            0.040262,            0.030929,                   0,             0.63102,             0.65744,             0.67532,             0.31414,            0.043916,            0.026276,                   0,            0.007096,            0.007096,            0.007096
                  24,            0.040967,            0.030594,                   0,             0.62484,             0.66535,             0.68358,             0.31983,             0.04383,            0.025796,                   0,            0.006964,            0.006964,            0.006964
                  25,            0.041527,             0.03151,                   0,              0.6369,             0.63636,              0.6648,              0.3284,            0.043109,              0.0263,                   0,            0.006832,            0.006832,            0.006832
                  26,              0.0395,            0.030952,                   0,             0.63203,             0.67852,             0.69037,             0.33082,             0.04293,            0.025877,                   0,              0.0067,              0.0067,              0.0067
                  27,            0.039062,            0.031804,                   0,             0.63156,             0.66624,             0.67373,             0.32099,            0.043039,            0.026356,                   0,            0.006568,            0.006568,            0.006568
                  28,            0.039219,            0.031722,                   0,             0.61797,             0.64559,             0.65887,             0.32321,            0.043345,            0.026775,                   0,            0.006436,            0.006436,            0.006436
                  29,            0.039443,            0.032045,                   0,             0.64896,             0.64559,             0.68503,             0.33544,            0.042731,            0.026314,                   0,            0.006304,            0.006304,            0.006304
                  30,            0.039146,            0.031813,                   0,             0.61584,              0.6469,             0.64995,             0.31435,            0.043182,            0.026703,                   0,            0.006172,            0.006172,            0.006172
                  31,              0.0389,            0.030803,                   0,             0.63603,             0.65613,             0.67724,             0.32736,            0.042874,            0.026381,                   0,             0.00604,             0.00604,             0.00604
                  32,            0.037722,            0.031069,                   0,             0.67373,             0.62301,              0.6732,             0.32936,            0.042824,            0.026602,                   0,            0.005908,            0.005908,            0.005908
                  33,            0.038097,            0.030878,                   0,             0.62304,             0.65349,             0.66634,              0.3202,             0.04324,            0.026838,                   0,            0.005776,            0.005776,            0.005776
                  34,            0.037649,            0.030242,                   0,             0.61609,              0.6614,             0.67486,             0.33144,            0.042918,            0.026834,                   0,            0.005644,            0.005644,            0.005644
                  35,            0.037241,            0.030881,                   0,             0.61012,             0.65217,             0.65881,             0.32342,            0.043588,             0.02703,                   0,            0.005512,            0.005512,            0.005512
                  36,            0.037066,            0.030203,                   0,             0.63141,             0.67062,             0.67643,             0.32374,            0.043667,            0.026961,                   0,             0.00538,             0.00538,             0.00538
                  37,            0.036737,            0.029688,                   0,             0.63591,             0.63109,              0.6606,             0.31557,            0.044018,            0.027149,                   0,            0.005248,            0.005248,            0.005248
                  38,            0.036847,            0.029726,                   0,             0.61711,             0.62855,             0.64731,             0.31348,             0.04369,            0.027638,                   0,            0.005116,            0.005116,            0.005116
                  39,            0.036885,            0.028776,                   0,             0.63897,             0.62582,              0.6624,             0.32291,            0.042816,            0.027172,                   0,            0.004984,            0.004984,            0.004984
                  40,            0.035818,            0.029097,                   0,             0.60102,             0.64899,             0.64514,             0.31281,            0.043443,            0.027802,                   0,            0.004852,            0.004852,            0.004852
                  41,            0.036915,            0.028884,                   0,              0.6231,             0.63241,             0.64735,             0.32019,            0.043577,            0.027187,                   0,             0.00472,             0.00472,             0.00472
                  42,            0.035602,            0.029075,                   0,             0.61308,             0.66403,             0.65243,             0.31864,            0.044089,            0.027842,                   0,            0.004588,            0.004588,            0.004588
                  43,            0.035201,            0.027761,                   0,             0.60514,             0.63373,             0.62166,             0.29323,            0.044121,            0.028002,                   0,            0.004456,            0.004456,            0.004456
                  44,            0.035125,             0.02967,                   0,              0.6525,             0.61353,              0.6526,             0.32169,            0.043506,            0.027951,                   0,            0.004324,            0.004324,            0.004324
                  45,            0.035033,             0.02789,                   0,              0.6778,             0.61924,             0.66198,             0.32075,            0.043742,             0.02761,                   0,            0.004192,            0.004192,            0.004192
                  46,            0.035001,            0.028343,                   0,             0.66639,              0.6166,             0.65359,              0.3222,            0.043398,            0.027555,                   0,             0.00406,             0.00406,             0.00406
                  47,            0.034393,             0.02725,                   0,             0.63613,             0.58966,             0.61463,             0.29404,            0.044571,            0.028628,                   0,            0.003928,            0.003928,            0.003928
                  48,            0.034877,            0.026816,                   0,             0.62322,             0.65481,             0.63892,             0.30503,            0.044451,            0.028133,                   0,            0.003796,            0.003796,            0.003796
                  49,            0.034238,            0.028522,                   0,             0.61803,             0.62978,             0.63146,               0.307,            0.044127,            0.028519,                   0,            0.003664,            0.003664,            0.003664
                  50,            0.033206,            0.026921,                   0,             0.60691,             0.66403,             0.64061,             0.31779,              0.0439,            0.028328,                   0,            0.003532,            0.003532,            0.003532
                  51,            0.033602,            0.026791,                   0,             0.62254,             0.62582,             0.64537,             0.30983,            0.044083,             0.02882,                   0,              0.0034,              0.0034,              0.0034
                  52,            0.033696,            0.027063,                   0,               0.583,              0.6087,              0.5996,             0.28601,            0.045416,            0.029801,                   0,            0.003268,            0.003268,            0.003268
                  53,            0.033835,            0.027565,                   0,             0.61837,             0.62319,             0.62525,             0.30761,            0.044051,            0.029126,                   0,            0.003136,            0.003136,            0.003136
                  54,            0.033265,            0.026856,                   0,             0.61245,             0.64961,             0.63691,             0.31281,            0.043826,            0.028404,                   0,            0.003004,            0.003004,            0.003004
                  55,            0.032296,            0.024988,                   0,             0.58397,             0.64559,              0.6142,             0.29588,            0.044751,            0.029411,                   0,            0.002872,            0.002872,            0.002872
                  56,            0.032417,            0.026019,                   0,             0.62964,             0.63768,             0.62861,             0.30387,            0.044304,            0.028844,                   0,             0.00274,             0.00274,             0.00274
                  57,            0.032228,            0.026986,                   0,             0.61261,             0.64163,             0.61877,             0.30405,            0.044281,            0.029211,                   0,            0.002608,            0.002608,            0.002608
                  58,            0.031819,            0.026443,                   0,             0.57132,             0.65876,             0.61798,             0.29864,            0.044268,            0.030091,                   0,            0.002476,            0.002476,            0.002476
                  59,             0.03196,            0.025827,                   0,             0.61114,              0.6166,             0.62302,             0.30253,            0.044281,             0.02964,                   0,            0.002344,            0.002344,            0.002344
                  60,            0.031544,            0.026265,                   0,              0.6134,             0.63241,             0.62664,             0.30686,            0.044193,            0.029496,                   0,            0.002212,            0.002212,            0.002212
                  61,            0.031848,            0.025244,                   0,               0.573,             0.63296,             0.60036,             0.29487,            0.044932,            0.030188,                   0,             0.00208,             0.00208,             0.00208
                  62,            0.031058,            0.025804,                   0,             0.59987,             0.66959,             0.64631,             0.30783,            0.044528,             0.02982,                   0,            0.001948,            0.001948,            0.001948
                  63,            0.031668,            0.025492,                   0,               0.598,             0.66441,             0.63147,             0.30274,            0.044425,            0.030023,                   0,            0.001816,            0.001816,            0.001816
                  64,            0.031601,            0.024676,                   0,             0.61181,             0.65616,             0.62629,             0.30177,            0.044727,            0.030114,                   0,            0.001684,            0.001684,            0.001684
                  65,            0.031444,            0.026212,                   0,             0.59663,             0.64954,             0.62279,             0.30154,            0.044665,            0.030776,                   0,            0.001552,            0.001552,            0.001552
                  66,            0.030925,            0.026008,                   0,             0.59835,             0.65086,             0.61302,             0.29678,            0.044978,            0.030925,                   0,             0.00142,             0.00142,             0.00142
                  67,            0.030708,             0.02412,                   0,             0.59544,             0.62846,             0.60741,             0.29261,            0.044992,             0.03125,                   0,            0.001288,            0.001288,            0.001288
                  68,            0.030545,            0.025725,                   0,             0.60814,             0.62978,             0.60453,             0.29355,            0.044864,            0.031228,                   0,            0.001156,            0.001156,            0.001156
                  69,            0.029979,            0.024873,                   0,             0.58913,             0.65613,             0.61463,             0.29597,            0.044365,            0.031037,                   0,            0.001024,            0.001024,            0.001024
                  70,            0.030091,            0.024784,                   0,             0.63848,             0.61662,             0.61746,             0.29975,            0.044302,            0.030615,                   0,            0.000892,            0.000892,            0.000892
                  71,            0.029606,            0.024571,                   0,             0.58146,             0.64295,             0.59871,             0.29343,            0.044888,            0.031358,                   0,             0.00076,             0.00076,             0.00076
                  72,            0.029672,             0.02423,                   0,             0.58447,             0.65086,             0.61364,             0.29988,            0.044716,            0.031254,                   0,            0.000628,            0.000628,            0.000628
                  73,            0.030071,            0.024229,                   0,              0.5945,             0.64163,             0.61208,             0.30319,            0.044598,            0.031017,                   0,            0.000496,            0.000496,            0.000496
                  74,            0.030142,            0.025024,                   0,             0.59755,             0.63578,             0.60853,             0.30235,            0.044619,            0.031047,                   0,            0.000364,            0.000364,            0.000364
